m/z,intensity
15,1.5
26,0.8
27,3.8
29,1.6
31,0.6
37,0.6
38,1.9
39,12.6
40,2.5
41,5.6
42,0.7
43,3.2
44,0.1
45,0.9
46,0.4
49,0.3
50,5.8
51,15.6
52,6.6
53,8.8
54,0.7
55,22.7
56,0.9
57,0.4
59,0.5
60,0.3
61,0.6
62,2.9
63,7.0
64,2.0
65,12.7
66,6.2
67,1.8
68,0.6
69,0.8
74,1.8
75,1.9
76,1.6
77,35.5
78,9.8
79,8.7
80,0.8
81,2.5
82,0.1
86,0.3
87,0.4
89,3.0
90,0.9
91,28.8
92,3.5
93,5.4
94,8.7
95,1.2
101,0.6
102,3.1
103,36.0
104,22.5
105,10.5
106,1.6
107,4.3
108,0.6
109,1.4
115,3.5
116,0.9
117,0.7
118,0.9
119,2.4
120,1.3
121,19.0
122,9.5
123,0.9
124,0.3
130,0.4
131,32.3
132,9.7
133,19.7
134,2.4
135,1.9
136,0.1
137,20.7
138,1.8
145,0.2
146,0.1
147,5.3
148,0.7
149,35.0
150,3.7
163,3.9
164,99.99
165,11.0
166,0.8
